n,merge,hybrid5,hybrid10,hybrid20,hybrid30,hybrid50
54700,33790,32975,32125,33687,40773,40493
54800,34357,31867,35127,44972,51142,40637
54900,38484,35694,32339,33995,39861,39402
55000,34545,32995,34432,35640,50716,49110
55100,35885,32740,32323,33910,39014,39657
55200,35543,32495,33486,34042,46352,54481
55300,44128,38932,33271,35210,41257,42034
55400,34643,32129,34161,35260,41659,55861
55500,40328,34935,36080,37337,41170,41731
55600,34223,35055,32471,35009,39877,49050
55700,44767,40395,33850,34528,47587,40585
55800,34533,34422,32171,34432,41430,41965
55900,47643,42066,33428,34956,42785,40758
56000,37161,34254,32983,36834,48006,40866
56100,42822,43208,38818,37581,41982,40847
56200,35895,33400,32457,34289,41982,41009
56300,37421,42519,38044,41684,40783,40981
56400,36624,32951,31976,34937,41539,43316
56500,38668,51309,47151,40793,41256,47671
56600,50559,37032,33629,37869,49033,41907
56700,37772,41561,40938,39229,41858,41540
56800,37122,34774,32417,36348,40752,40549
56900,37898,42704,55453,49623,59741,42915
57000,35752,34394,34700,37262,42400,41339
57100,37247,45935,42827,41470,45769,43043
57200,36088,35400,34793,36469,43616,45640
57300,57018,47811,50583,40958,43167,42340
57400,39554,34827,34092,35563,44696,41960
57500,46376,41554,37808,38143,42505,43443
57600,40241,44691,36919,36364,50173,44758
57700,49504,41291,38100,41994,43163,44602
57800,37356,34199,38790,41681,42925,53849
57900,49633,39385,36383,36487,45655,46878
58000,35960,35614,34699,36473,44612,55078
58100,49640,34587,35466,37317,43566,43826
58200,39367,35479,33960,37403,41904,53571
58300,46951,37556,34044,44889,43632,42052
58400,37487,34875,36227,36297,42769,53713
58500,43164,38046,36972,36555,46683,43239
58600,38795,34844,39015,37099,46892,56138
58700,41761,41187,42686,37675,46448,52417
58800,46238,36067,37694,40759,61112,59659
58900,42014,41583,37391,41173,47366,50239
59000,40335,37248,39397,58571,63868,45101
59100,41083,37120,40522,43737,45510,45361
59200,39191,35862,52031,49241,46189,47239
59300,38441,37047,35566,37190,46128,45290
59400,38530,38182,44060,46573,51643,45415
59500,41345,37789,37692,40193,45150,43935
59600,38366,49246,61558,80717,49770,46952
59700,53844,64462,65777,89528,80420,80321
59800,81440,64561,40308,36840,48625,66132
59900,65787,46659,50584,56234,50128,57255
60000,48976,38524,37808,37733,60671,57320
60100,46216,39660,50449,40367,47101,45858
60200,40471,41498,41552,80500,104259,63076
60300,67096,44820,50036,59019,66779,69890
60400,87595,94236,75525,89185,99952,151736
60500,123797,89360,108478,124492,148810,110315
60600,77890,74656,73848,129672,149629,151767
60700,130781,120776,116520,126477,146764,148479
60800,127784,118504,113396,124723,147423,153077
60900,131275,123937,121534,127610,148072,152173
61000,127355,115296,117967,122625,98163,45713
61100,38826,40907,38361,39205,47101,45258
61200,41123,49632,51961,48225,117244,162286
61300,130061,121164,118327,129793,111490,54736
61400,47768,36983,37291,39093,45848,47550
61500,45616,44439,40723,40526,54278,58846
61600,44915,36830,35489,75741,57189,66163
61700,39623,41333,39464,38268,52024,45751
61800,37636,35615,35816,49853,59894,52817
61900,40589,35987,35683,39836,47766,48059
62000,38199,35962,41273,47938,50058,46185
62100,38691,36026,37358,41322,52726,55564
62200,41474,55145,53348,47873,93376,77900
62300,61879,47307,55546,76494,110954,106494
62400,67791,51406,41798,51194,49394,95603
62500,81598,55080,58146,65998,62102,66509
62600,78894,111572,121587,82798,50801,57686
62700,45273,41095,42008,43540,45704,54960
62800,52375,62128,54465,45697,47308,57571
62900,42755,39572,40016,40935,71812,125160
63000,49441,38015,36929,40861,49423,70222
63100,47478,39172,41086,56747,80573,53342
63200,43946,41612,38954,42356,47667,102134
63300,69559,58817,55650,49642,52499,65858
63400,42519,38087,47797,72876,67829,67111
63500,41820,52063,41321,53885,46611,58309
63600,75161,55044,60698,50779,52811,60253
63700,49035,56178,111975,74859,66555,48870
63800,44692,87273,44574,55212,88062,168574
63900,125858,50965,79957,72463,74599,138801
64000,133482,136662,121582,104487,104397,139297
64100,130814,111686,65466,103128,88801,78923
64200,106905,126883,138349,137668,98368,103268
64300,67566,53508,47734,46546,44415,106002
64400,42631,38254,41033,59051,61649,72883
64500,44195,54968,39484,43532,50488,54111
64600,41266,52402,57810,46004,56237,52221
64700,49445,39506,54815,42960,59058,68346
64800,53776,46240,42913,42170,53378,51556
64900,46437,45646,50783,61777,51319,54492
65000,48112,43899,46399,46505,49465,64814
65100,62985,52314,47806,41939,55329,78879
65200,51801,49138,39906,64184,53713,62121
65300,39978,38144,41169,42596,41940,55376
65400,46350,58516,56124,51808,46099,50013
65500,49605,46661,46653,41613,46815,58883
65600,74596,65010,64012,59103,51033,59237
65700,55505,49570,63293,65956,52650,58770
65800,61998,68662,54086,65220,117677,92465
